Odometry Data Logging:
 Format 
 Double x; 
 Double y; 
 Double z; 

[0, 0, 0;
 -1.4099979, -14.386825, 1.3244013;
 -1.4522589, -14.803857, 1.3570628;
 -1.6424043, -15.443307, 1.3647586;
 -1.8081394, -16.625425, 1.4495019;
 -1.9956241, -17.231068, 1.4865603;
 -2.1418304, -18.432228, 1.5306594;
 -2.6696301, -19.871822, 1.617183;
 -3.1746678, -20.420376, 1.654356;
 -4.0549507, -19.996464, 1.6205237;
 -4.6096416, -20.369669, 1.6376678;
 -4.5848918, -20.605759, 1.6670693;
 -5.1100211, -20.516848, 1.6317812;
 -5.5612011, -20.801298, 1.6301888;
 -5.8528976, -21.04023, 1.6277103;
 -5.9491396, -21.731695, 1.6476061;
 -6.0036411, -22.128103, 1.6815969;
 -6.3070302, -22.511902, 1.6913657;
 -6.3866644, -23.171379, 1.7111461;
 -6.3299875, -23.295399, 1.6983707;
 -6.5702786, -24.087824, 1.7551966;
 -6.3668728, -24.761309, 1.8236049;
 -6.2799444, -25.181774, 1.8137934;
 -6.4428754, -25.451735, 1.8662299;
 -6.2722096, -25.498257, 1.8591313;
 -6.2510242, -25.880411, 1.9033421;
 -6.0838752, -27.049423, 1.9455549;
 -6.121088, -27.217319, 1.9690109;
 -6.1118541, -27.272051, 1.9881978;
 -6.123827, -27.238235, 1.9731872;
 -6.1435289, -27.189024, 1.9646482;
 -6.1346617, -27.244125, 1.9745311;
 -6.2663417, -27.389248, 2.0208552;
 -6.2491117, -27.452423, 2.0313668;
 -6.2337389, -27.530506, 2.0681648;
 -5.7707224, -27.620689, 2.094229;
 -5.6394153, -27.929205, 2.0941522;
 -5.5247269, -28.197496, 2.0929747;
 -5.519279, -28.229012, 2.0801103;
 -5.4231048, -28.371513, 2.0692165;
 -5.4191904, -28.331604, 2.0669286;
 -5.3647699, -28.325716, 1.9958463;
 -5.3732619, -28.603863, 2.0271342;
 -5.3227406, -28.553631, 2.0008974;
 -5.4096541, -28.694506, 2.1193545;
 -5.3871632, -28.626068, 2.2818525;
 -5.5972328, -29.117802, 2.350152;
 -5.5966654, -29.465044, 2.4075751;
 -5.3517642, -30.028151, 2.4097676;
 -5.4784961, -30.12698, 2.4092479;
 -5.4469404, -30.218359, 2.4215701;
 -5.5819483, -30.520687, 2.5073175;
 -5.5568194, -30.905699, 2.5156059;
 -5.5314269, -30.959846, 2.5424731;
 -5.4156308, -31.309502, 2.5479906;
 -5.3372431, -31.256199, 2.5498779;
 -5.2367711, -31.311197, 2.5636714;
 -5.2068672, -31.626459, 2.6131973;
 -5.212244, -31.62587, 2.598093;
 -5.1894207, -31.732517, 2.6076541;
 -5.184515, -31.696737, 2.5722733;
 -4.8085303, -31.387552, 2.5529804;
 -4.7332768, -31.676285, 2.6938667;
 -4.7558174, -31.705881, 2.6385458;
 -4.7171292, -31.851444, 2.6639991;
 -4.5816035, -31.88201, 2.6787508;
 -4.4515796, -32.006958, 2.7027214;
 -4.4820752, -32.064968, 2.746531;
 -4.3902278, -32.086445, 2.7652986;
 -4.3982239, -32.061478, 2.76069;
 -4.1462369, -32.332741, 2.8030963;
 -3.857996, -32.647598, 2.8420351;
 -3.874759, -32.813301, 2.8646338;
 -3.8557642, -33.372238, 2.8781209;
 -3.813834, -33.806099, 2.8990967;
 -3.7028987, -33.951248, 2.9050097;
 -3.7514019, -34.187004, 2.9365816;
 -3.7731857, -34.278706, 2.9473858;
 -3.7889006, -34.82465, 2.9596593;
 -3.9619267, -34.847275, 2.965678;
 -4.0102758, -34.877666, 2.9603088;
 -3.9339323, -34.912884, 2.9739633;
 -3.9199939, -34.884007, 2.973911;
 -3.5100195, -35.129578, 3.036746;
 -3.4880223, -35.089127, 3.0567605;
 -3.4392695, -35.185577, 3.0779157;
 -3.4021978, -35.256767, 3.0828292;
 -3.4542513, -35.487911, 3.1210501;
 -3.4657152, -35.550076, 3.1151633;
 -3.4081309, -35.521179, 3.1321287;
 -3.3859203, -35.628311, 3.1410625;
 -3.2919014, -35.854397, 3.1907804;
 -3.3558855, -36.027111, 3.165838;
 -3.4237006, -36.257721, 3.1981654;
 -3.3984351, -36.28294, 3.2051933;
 -3.328455, -36.421127, 3.2144663;
 -3.2403333, -36.622353, 3.2196717;
 -3.1408465, -36.909992, 3.2282405;
 -3.0488436, -36.871353, 3.2279544;
 -3.0419338, -36.872509, 3.2266285;
 -3.0232289, -36.904926, 3.2220931;
 -2.7872527, -37.845791, 3.2509155;
 -2.7415154, -38.74229, 3.2990966;
 -2.7335217, -39.00024, 3.3279066;
 -2.7275391, -39.091923, 3.3415804;
 -2.6522014, -39.500778, 3.3712955;
 -2.6873896, -39.818897, 3.370225;
 -2.5280802, -40.532589, 3.40713;
 -2.3130054, -41.111645, 3.4417644;
 -2.3631883, -41.581303, 3.4658408;
 -2.0562184, -42.102852, 3.4734244;
 -2.4615409, -42.292358, 3.4673815;
 -2.3960633, -42.599628, 3.4839578;
 -2.0089538, -42.378407, 3.5119627;
 -2.3500636, -42.865829, 3.5705514;
 -2.6681404, -43.178452, 3.5954216;
 -2.6973178, -43.539841, 3.5980456;
 -2.8425226, -45.039101, 3.6590714;
 -2.4458594, -45.117214, 3.6500542;
 -2.3338556, -45.411716, 3.6742618;
 -2.2347867, -46.023643, 3.7044263;
 -2.1893032, -46.425289, 3.7099919;
 -2.0043111, -47.038296, 3.7145495;
 -1.9438593, -47.1446, 3.7209196;
 -1.9138815, -47.676888, 3.7404134;
 -1.7531854, -48.168453, 3.7792957;
 -1.5606722, -48.651398, 3.7864449;
 -1.4407439, -48.792229, 3.80338;
 -1.3947583, -49.253071, 3.8085737;
 -1.2508062, -49.668041, 3.8132813;
 -0.88165951, -50.051762, 3.8319466;
 -0.73663145, -50.572086, 3.8453658;
 -0.41961893, -51.031406, 3.8429763;
 -0.14770216, -51.631241, 3.8831515;
 0.049339909, -52.091038, 3.9254591;
 0.15019245, -52.331333, 3.9480522;
 0.42142981, -52.672321, 3.9682798;
 0.41350392, -52.724773, 3.9544759;
 0.45110327, -53.050694, 3.9587538;
 0.74814433, -53.390682, 3.9612281;
 0.88227141, -53.711918, 3.9826031;
 1.1863371, -54.209774, 3.9939675;
 1.3111649, -54.681, 4.0417829;
 1.5125751, -55.215706, 4.1060939;
 1.5974399, -55.677105, 4.1904249;
 1.8624092, -56.365284, 4.266881;
 1.7106676, -56.569832, 4.2954602;
 1.8864826, -57.200809, 4.320581;
 1.8793809, -57.507259, 4.3529987;
 1.9149556, -57.821934, 4.383265;
 1.9887528, -58.229706, 4.410078;
 2.1601789, -58.651024, 4.4575715;
 2.1217632, -58.756222, 4.4516969;
 2.1686151, -59.009251, 4.4671345;
 2.0151196, -59.258018, 4.4942884;
 2.1557167, -59.625496, 4.5299807;
